German,English
stehen,stand
sterben,to die
hätten,had
draußen,outside
kenne,know
fast,nearly
runter,down
vorbei,past
treffen,to meet
gerne,with pleasure
dran,tuned
wurden,were
arbeiten,work
mom,mom
verrückt,insane
neue,new
ging,went
hinter,Behind
sorgen,to care
einzige,single
jemanden,someone
darum,therefore
tochter,daughter
braucht,need
idee,idea
schwester,sister
drin,in it
ruhig,calm
sah,saw
ganzen,all
spät,late
ziemlich,quite
solltest,should
name,Surname
sogar,even
kurz,short
kerl,Guy
frauen,women
liegt,lies
suchen,search
finde,find
je,ever
woher,from where
lang,long
job,job
keiner,none
seinem,his
hört,hears
verstehen,understand
spielen,play
s.,s.
überhaupt,at all
teufel,devil
verstanden,Understood
verloren,lost
große,size
hand,hand
grund,reason
jahr,year
kommst,coming
mama,mummy
ruhe,Quiet
gewesen,been
tod,death
stunden,hours
hoffe,hope
denkst,think
oben,above
gestern,yesterday
versuchen,to attempt
art,kind
letzten,last
schatz,treasure
endlich,Finally
he,hey
nimm,take
etwa,approximately
erzählt,tells
läuft,running
schwer,heavy
anders,different
miss,ill
musste,had to
fünf,five
wasser,water
lässt,leaves
erste,first
versucht,tries
gekommen,came
geschichte,story
wenig,little
holen,to fetch
bedeutet,means
nett,kind
